text,id
"Over the last few weeks and months we have been watching the developments at Twitter. Be it the controversies, big… https://t.co/A7Le77FCrw",6
"More reports saying Musk is going to charge Twitter user's a fee.
I will not contribute as much as a penny to Elon.… https://t.co/IQNsgU9WTm",6
"@TJStamp @Duffeh_Leeds @grahamholland13 How I see it is...

Elon Musk just took £8 out of your wallet and gave you… https://t.co/j6qmeIb90v",6
"“Comedy is now legal on Twitter” - Elon Musk, 2022

But seriously, it's probably only a matter of time before peopl… https://t.co/ItNymyRtUt",6
Twitter-owner Elon Musk said in an email to employees that remote work would no longer be allowed and that they wou… https://t.co/EzZCkClK5p,6
"Elon Musk's Crazy Tactic about Big Changes on Twitter

https://t.co/W69iM70pnj",6
Miss maia mxmtoon just ratiod Elon Musk on HIS OWN app massive L https://t.co/6vIvGFIYwX,6
@rokutailgates @TaitTheTerrific @Got2sayso @Beuxdacious @DrgnProductions @2yskntk @jasonschreier idk what they’re g… https://t.co/ah15FClxZR,6
"Elon musk coming on twitter like the new headmaster of a school with bad kids, coming to correct their behaviour and introducing harsh rules",6
I hope Elon Musk bans India on Twitter for impersonating a cricket team,6
Now Blue bird is free from any dictatorship..so am on twitter..am so happy.… https://t.co/FVPnt2mA6O,6
#Tesla Inc dropped 7.2% to a two-year low after Chief Executive Elon Musk late on Tuesday disclosed that he sold $3… https://t.co/wGOqrTWRrz,6
Honestly worried about everything going on with twitter and Elon Musk right now. This is my favorite social media p… https://t.co/CzSUnGLYR1,6
"Elon Musk Concedes Twitter’s Move To Paid Blue-Check Verification May Be A “Dumb Decision”, Intends To Get “80% Of… https://t.co/VQ77AaAp7v",6
Elon Musk is planning to charge users a fee to use Twitter. I don't know how much longer I will be on Twitter?,6
